Date,Gold 999.9,Gold 995.0,Silver
2024-02-16,Rs. 100395.00,Rs. 0.00,Rs. 1209.00
2024-02-15,Rs. 99880.00,Rs. 0.00,Rs. 1179.00
2024-02-14,Rs. 99880.00,Rs. 0.00,Rs. 1170.00
2024-02-13,Rs. 100910.00,Rs. 0.00,Rs. 1196.00
2024-02-12,Rs. 101165.00,Rs. 0.00,Rs. 1196.00
2024-02-11,Rs. 101165.00,Rs. 0.00,Rs. 1192.00
2024-02-09,Rs. 101595.00,Rs. 0.00,Rs. 1192.00
2024-02-08,Rs. 101510.00,Rs. 0.00,Rs. 1174.50
2024-02-07,Rs. 101680.00,Rs. 0.00,Rs. 1179.00
2024-02-06,Rs. 101165.00,Rs. 0.00,Rs. 1179.00
2024-02-05,Rs. 101595.00,Rs. 0.00,Rs. 1192.00
2024-02-04,Rs. 101935.00,Rs. 0.00,Rs. 1196.00
2024-02-02,Rs. 102450.00,Rs. 0.00,Rs. 1213.00
2024-02-01,Rs. 102195.00,Rs. 0.00,Rs. 1209.00
2024-01-31,Rs. 101765.00,Rs. 0.00,Rs. 1217.50
2024-01-30,Rs. 101680.00,Rs. 0.00,Rs. 1217.50
2024-01-29,Rs. 101425.00,Rs. 0.00,Rs. 1204.50
2024-01-28,Rs. 101165.00,Rs. 0.00,Rs. 1200.00
2024-01-26,Rs. 101165.00,Rs. 0.00,Rs. 1200.00
2024-01-25,Rs. 101165.00,Rs. 0.00,Rs. 1200.00
2024-01-24,Rs. 101510.00,Rs. 0.00,Rs. 1183.00
2024-01-23,Rs. 101510.00,Rs. 0.00,Rs. 1174.50
2024-01-22,Rs. 101510.00,Rs. 0.00,Rs. 1192.00
2024-01-21,Rs. 101510.00,Rs. 0.00,Rs. 1192.00
2024-01-19,Rs. 101165.00,Rs. 0.00,Rs. 1196.00
2024-01-18,Rs. 100735.00,Rs. 0.00,Rs. 1192.00
2024-01-17,Rs. 101340.00,Rs. 0.00,Rs. 1200.00
2024-01-16,Rs. 102365.00,Rs. 0.00,Rs. 1213.00
2024-01-15,Rs. 102540.00,Rs. 0.00,Rs. 1217.50
2024-01-14,Rs. 102195.00,Rs. 0.00,Rs. 1217.50
2024-01-12,Rs. 101680.00,Rs. 0.00,Rs. 1200.00
2024-01-11,Rs. 101425.00,Rs. 0.00,Rs. 1209.00
2024-01-10,Rs. 101595.00,Rs. 0.00,Rs. 1209.00
2024-01-09,Rs. 101680.00,Rs. 0.00,Rs. 1213.00
2024-01-08,Rs. 101850.00,Rs. 0.00,Rs. 1213.00
2024-01-07,Rs. 102450.00,Rs. 0.00,Rs. 1217.50
2024-01-05,Rs. 102450.00,Rs. 0.00,Rs. 1217.50
2024-01-04,Rs. 102450.00,Rs. 0.00,Rs. 1217.50
2024-01-03,Rs. 103565.00,Rs. 0.00,Rs. 1243.00
2024-01-02,Rs. 103740.00,Rs. 0.00,Rs. 1251.50
2024-01-01,Rs. 103310.00,Rs. 0.00,Rs. 1247.50
2023-12-31,Rs. 103310.00,Rs. 0.00,Rs. 1247.50
2023-12-29,Rs. 103480.00,Rs. 0.00,Rs. 1247.50
2023-12-28,Rs. 104595.00,Rs. 0.00,Rs. 1277.50
2023-12-27,Rs. 103480.00,Rs. 0.00,Rs. 1264.50
2023-12-26,Rs. 103310.00,Rs. 0.00,Rs. 1273.00
2023-12-25,Rs. 102795.00,Rs. 0.00,Rs. 1264.50
2023-12-24,Rs. 102795.00,Rs. 0.00,Rs. 1264.50
2023-12-22,Rs. 102710.00,Rs. 0.00,Rs. 1273.00
2023-12-21,Rs. 102025.00,Rs. 0.00,Rs. 1269.00
2023-12-20,Rs. 102025.00,Rs. 0.00,Rs. 1256.00
2023-12-19,Rs. 101165.00,Rs. 0.00,Rs. 1243.00
2023-12-18,Rs. 100995.00,Rs. 0.00,Rs. 1247.50
2023-12-17,Rs. 100995.00,Rs. 0.00,Rs. 1247.50
2023-12-15,Rs. 102110.00,Rs. 0.00,Rs. 1260.00
2023-12-14,Rs. 101850.00,Rs. 0.00,Rs. 1247.50
2023-12-13,Rs. 99450.00,Rs. 0.00,Rs. 1200.00
2023-12-12,Rs. 99710.00,Rs. 0.00,Rs. 1209.00
2023-12-11,Rs. 100310.00,Rs. 0.00,Rs. 1209.00
2023-12-10,Rs. 100740.00,Rs. 0.00,Rs. 1222.00
2023-12-08,Rs. 101850.00,Rs. 0.00,Rs. 1252.00
2023-12-07,Rs. 101680.00,Rs. 0.00,Rs. 1252.00
2023-12-06,Rs. 101510.00,Rs. 0.00,Rs. 1269.00
2023-12-05,Rs. 102195.00,Rs. 0.00,Rs. 1286.00
2023-12-04,Rs. 104250.00,Rs. 0.00,Rs. 1324.50
2023-12-03,Rs. 103565.00,Rs. 0.00,Rs. 1324.50
2023-12-01,Rs. 102025.00,Rs. 0.00,Rs. 1320.50
2023-11-30,Rs. 102280.00,Rs. 0.00,Rs. 1303.00
2023-11-29,Rs. 102280.00,Rs. 0.00,Rs. 1303.00
2023-11-27,Rs. 100650.00,Rs. 0.00,Rs. 1286.00
2023-11-26,Rs. 100225.00,Rs. 0.00,Rs. 1273.00
2023-11-24,Rs. 99710.00,Rs. 0.00,Rs. 1243.00
2023-11-23,Rs. 99880.00,Rs. 0.00,Rs. 1239.00
2023-11-22,Rs. 99880.00,Rs. 0.00,Rs. 1247.50
2023-11-21,Rs. 99625.00,Rs. 0.00,Rs. 1247.50
2023-11-20,Rs. 99195.00,Rs. 0.00,Rs. 1243.00
2023-11-19,Rs. 99020.00,Rs. 0.00,Rs. 1243.00
2023-11-18,Rs. 99020.00,Rs. 0.00,Rs. 1243.00
2023-11-17,Rs. 99020.00,Rs. 0.00,Rs. 1243.00
2023-11-12,Rs. 97480.00,Rs. 0.00,Rs. 1183.00
2023-11-11,Rs. 97480.00,Rs. 0.00,Rs. 1183.00
2023-11-10,Rs. 98335.00,Rs. 0.00,Rs. 1200.00
2023-11-09,Rs. 97480.00,Rs. 0.00,Rs. 1183.00
2023-11-08,Rs. 98335.00,Rs. 0.00,Rs. 1187.50
2023-11-07,Rs. 98595.00,Rs. 0.00,Rs. 1204.50
2023-11-06,Rs. 98935.00,Rs. 0.00,Rs. 1213.00
2023-11-05,Rs. 99365.00,Rs. 0.00,Rs. 1213.00
2023-11-03,Rs. 99365.00,Rs. 0.00,Rs. 1192.00
2023-11-02,Rs. 99195.00,Rs. 0.00,Rs. 1204.50
2023-11-01,Rs. 98595.00,Rs. 0.00,Rs. 1187.50
2023-10-31,Rs. 99450.00,Rs. 0.00,Rs. 1217.50
2023-10-30,Rs. 99880.00,Rs. 0.00,Rs. 1209.00
2023-10-29,Rs. 100310.00,Rs. 0.00,Rs. 1213.00
2023-10-20,Rs. 99025.00,Rs. 0.00,Rs. 1200.00
2023-10-19,Rs. 97480.00,Rs. 0.00,Rs. 1196.00
2023-10-18,Rs. 97050.00,Rs. 0.00,Rs. 1209.00
2023-10-17,Rs. 95935.00,Rs. 0.00,Rs. 1179.00
2023-10-16,Rs. 96280.00,Rs. 0.00,Rs. 1192.00
2023-10-15,Rs. 96880.00,Rs. 0.00,Rs. 1192.00
2023-10-14,Rs. 96880.00,Rs. 0.00,Rs. 1192.00
2023-10-13,Rs. 94395.00,Rs. 0.00,Rs. 1153.00
2023-10-12,Rs. 93880.00,Rs. 0.00,Rs. 1157.50
2023-10-11,Rs. 93280.00,Rs. 0.00,Rs. 1149.00
2023-10-10,Rs. 93365.00,Rs. 0.00,Rs. 1149.00
2023-10-09,Rs. 93105.00,Rs. 0.00,Rs. 1153.00
2023-10-08,Rs. 92250.00,Rs. 0.00,Rs. 1140.50
2023-10-06,Rs. 91995.00,Rs. 0.00,Rs. 1123.00
2023-10-05,Rs. 91995.00,Rs. 0.00,Rs. 1123.00
2023-10-04,Rs. 91650.00,Rs. 0.00,Rs. 1123.00
2023-10-03,Rs. 91395.00,Rs. 0.00,Rs. 1123.00
2023-10-01,Rs. 92595.00,Rs. 0.00,Rs. 1166.00
2023-09-29,Rs. 93280.00,Rs. 0.00,Rs. 1196.00
2023-09-28,Rs. 93965.00,Rs. 0.00,Rs. 1174.50
2023-09-27,Rs. 95165.00,Rs. 0.00,Rs. 1187.50
2023-09-26,Rs. 95850.00,Rs. 0.00,Rs. 1200.00
2023-09-25,Rs. 96195.00,Rs. 0.00,Rs. 1226.00
2023-09-24,Rs. 96195.00,Rs. 0.00,Rs. 1226.00
2023-09-22,Rs. 96110.00,Rs. 0.00,Rs. 1222.00
2023-09-21,Rs. 96450.00,Rs. 0.00,Rs. 1209.00
2023-09-20,Rs. 96710.00,Rs. 0.00,Rs. 1204.50
2023-09-19,Rs. 96880.00,Rs. 0.00,Rs. 1209.00
2023-09-18,Rs. 96450.00,Rs. 0.00,Rs. 1204.50
2023-09-17,Rs. 96280.00,Rs. 0.00,Rs. 1200.00
2023-09-15,Rs. 95850.00,Rs. 0.00,Rs. 1196.00
2023-09-14,Rs. 95335.00,Rs. 0.00,Rs. 1187.50
2023-09-13,Rs. 95335.00,Rs. 0.00,Rs. 1192.00
2023-09-12,Rs. 96020.00,Rs. 0.00,Rs. 1204.50
2023-09-11,Rs. 96020.00,Rs. 0.00,Rs. 1200.00
2023-09-10,Rs. 95935.00,Rs. 0.00,Rs. 1196.00
2023-09-08,Rs. 96280.00,Rs. 0.00,Rs. 1204.50
2023-09-07,Rs. 96020.00,Rs. 0.00,Rs. 1209.00
2023-09-06,Rs. 96365.00,Rs. 0.00,Rs. 1226.00
2023-09-04,Rs. 96880.00,Rs. 0.00,Rs. 1256.00
2023-09-03,Rs. 96535.00,Rs. 0.00,Rs. 1252.00
2023-09-01,Rs. 96450.00,Rs. 0.00,Rs. 1260.50
2023-08-31,Rs. 96710.00,Rs. 0.00,Rs. 1269.00
2023-08-30,Rs. 96450.00,Rs. 0.00,Rs. 1273.00
2023-08-29,Rs. 95765.00,Rs. 0.00,Rs. 1256.00
2023-08-28,Rs. 95250.00,Rs. 0.00,Rs. 1252.00
2023-08-27,Rs. 95250.00,Rs. 0.00,Rs. 1256.00
2023-08-25,Rs. 95250.00,Rs. 0.00,Rs. 1243.00
2023-08-24,Rs. 95250.00,Rs. 0.00,Rs. 1252.00
