Date,Gold 999.9,Gold 995.0,Silver
2021-01-01,Rs. 81020.00,Rs. 0.00,Rs. 1114.50
2020-12-31,Rs. 80675.00,Rs. 0.00,Rs. 1114.50
2020-12-30,Rs. 80760.00,Rs. 0.00,Rs. 1119.00
2020-12-29,Rs. 80675.00,Rs. 0.00,Rs. 1114.50
2020-12-28,Rs. 81360.00,Rs. 0.00,Rs. 1127.50
2020-12-27,Rs. 80760.00,Rs. 0.00,Rs. 1097.50
2020-12-25,Rs. 80760.00,Rs. 0.00,Rs. 1097.50
2020-12-24,Rs. 80675.00,Rs. 0.00,Rs. 1097.50
2020-12-23,Rs. 80590.00,Rs. 0.00,Rs. 1084.50
2020-12-22,Rs. 81360.00,Rs. 0.00,Rs. 1127.50
2020-12-21,Rs. 81620.00,Rs. 0.00,Rs. 1131.50
2020-12-20,Rs. 80850.00,Rs. 0.00,Rs. 1097.50
2020-12-18,Rs. 80850.00,Rs. 0.00,Rs. 1106.00
2020-12-17,Rs. 80245.00,Rs. 0.00,Rs. 1076.00
2020-12-16,Rs. 79905.00,Rs. 0.00,Rs. 1054.50
2020-12-15,Rs. 79135.00,Rs. 0.00,Rs. 1029.00
2020-12-14,Rs. 79045.00,Rs. 0.00,Rs. 1024.50
2020-12-13,Rs. 79390.00,Rs. 0.00,Rs. 1029.00
2020-12-11,Rs. 79305.00,Rs. 0.00,Rs. 1029.00
2020-12-10,Rs. 79390.00,Rs. 0.00,Rs. 1029.00
2020-12-09,Rs. 80075.00,Rs. 0.00,Rs. 1041.50
2020-12-08,Rs. 80675.00,Rs. 0.00,Rs. 1059.00
2020-12-07,Rs. 79475.00,Rs. 0.00,Rs. 1037.50
2020-12-06,Rs. 79475.00,Rs. 0.00,Rs. 1033.00
2020-12-04,Rs. 79560.00,Rs. 0.00,Rs. 1033.00
2020-12-03,Rs. 79390.00,Rs. 0.00,Rs. 1029.00
2020-12-02,Rs. 78020.00,Rs. 0.00,Rs. 1016.00
2020-12-01,Rs. 77505.00,Rs. 0.00,Rs. 990.00
2020-11-30,Rs. 76990.00,Rs. 0.00,Rs. 956.00
2020-11-29,Rs. 77505.00,Rs. 0.00,Rs. 986.00
2020-11-27,Rs. 78275.00,Rs. 0.00,Rs. 999.00
2020-11-26,Rs. 78275.00,Rs. 0.00,Rs. 1007.50
2020-11-25,Rs. 78360.00,Rs. 0.00,Rs. 1003.00
2020-11-24,Rs. 78960.00,Rs. 0.00,Rs. 1007.50
2020-11-23,Rs. 80935.00,Rs. 0.00,Rs. 1041.50
2020-11-22,Rs. 80850.00,Rs. 0.00,Rs. 1037.50
2020-11-20,Rs. 80850.00,Rs. 0.00,Rs. 1037.50
2020-11-19,Rs. 80850.00,Rs. 0.00,Rs. 1041.50
2020-11-18,Rs. 81535.00,Rs. 0.00,Rs. 1054.50
2020-11-13,Rs. 81705.00,Rs. 0.00,Rs. 1050.00
2020-11-12,Rs. 81105.00,Rs. 0.00,Rs. 1050.00
2020-11-11,Rs. 81275.00,Rs. 0.00,Rs. 1050.00
2020-11-10,Rs. 81275.00,Rs. 0.00,Rs. 1046.00
2020-11-09,Rs. 84105.00,Rs. 0.00,Rs. 1097.50
2020-11-08,Rs. 83675.00,Rs. 0.00,Rs. 1089.00
2020-11-06,Rs. 83250.00,Rs. 0.00,Rs. 1076.00
2020-11-05,Rs. 82390.00,Rs. 0.00,Rs. 1033.00
2020-11-04,Rs. 82390.00,Rs. 0.00,Rs. 1029.00
2020-11-03,Rs. 81790.00,Rs. 0.00,Rs. 1037.50
2020-11-02,Rs. 81360.00,Rs. 0.00,Rs. 1029.00
2020-11-01,Rs. 81450.00,Rs. 0.00,Rs. 1024.50
2020-10-30,Rs. 81105.00,Rs. 0.00,Rs. 1011.50
2020-10-29,Rs. 81105.00,Rs. 0.00,Rs. 1011.50
2020-10-28,Rs. 81705.00,Rs. 0.00,Rs. 1037.50
2020-10-22,Rs. 81960.00,Rs. 0.00,Rs. 1054.50
2020-10-21,Rs. 81875.00,Rs. 0.00,Rs. 1063.00
2020-10-20,Rs. 81105.00,Rs. 0.00,Rs. 1037.50
2020-10-19,Rs. 81190.00,Rs. 0.00,Rs. 1024.50
2020-10-18,Rs. 81190.00,Rs. 0.00,Rs. 1029.00
2020-10-16,Rs. 81360.00,Rs. 0.00,Rs. 1029.00
2020-10-15,Rs. 81020.00,Rs. 0.00,Rs. 1024.50
2020-10-14,Rs. 81020.00,Rs. 0.00,Rs. 1029.00
2020-10-13,Rs. 81535.00,Rs. 0.00,Rs. 1046.00
2020-10-12,Rs. 82050.00,Rs. 0.00,Rs. 1067.50
2020-10-11,Rs. 81960.00,Rs. 0.00,Rs. 1059.00
2020-10-09,Rs. 81360.00,Rs. 0.00,Rs. 1029.00
2020-10-08,Rs. 80505.00,Rs. 0.00,Rs. 1011.50
2020-10-07,Rs. 80590.00,Rs. 0.00,Rs. 1003.00
2020-10-06,Rs. 81360.00,Rs. 0.00,Rs. 1029.00
2020-10-05,Rs. 80675.00,Rs. 0.00,Rs. 1011.50
2020-10-04,Rs. 81020.00,Rs. 0.00,Rs. 1007.00
2020-10-02,Rs. 80760.00,Rs. 0.00,Rs. 1007.00
2020-10-01,Rs. 81020.00,Rs. 0.00,Rs. 1007.00
2020-09-30,Rs. 81190.00,Rs. 0.00,Rs. 1020.00
2020-09-29,Rs. 80760.00,Rs. 0.00,Rs. 1007.00
2020-09-28,Rs. 79990.00,Rs. 0.00,Rs. 981.50
2020-09-27,Rs. 79990.00,Rs. 0.00,Rs. 981.50
2020-09-25,Rs. 80420.00,Rs. 0.00,Rs. 994.50
2020-09-24,Rs. 79820.00,Rs. 0.00,Rs. 951.50
2020-09-23,Rs. 80935.00,Rs. 0.00,Rs. 1011.50
2020-09-22,Rs. 81790.00,Rs. 0.00,Rs. 1054.50
2020-09-21,Rs. 83160.00,Rs. 0.00,Rs. 1131.50
2020-09-20,Rs. 83160.00,Rs. 0.00,Rs. 1127.50
2020-09-18,Rs. 83160.00,Rs. 0.00,Rs. 1136.00
2020-09-17,Rs. 82990.00,Rs. 0.00,Rs. 1131.50
2020-09-16,Rs. 83765.00,Rs. 0.00,Rs. 1149.00
2020-09-15,Rs. 83675.00,Rs. 0.00,Rs. 1149.00
2020-09-14,Rs. 83075.00,Rs. 0.00,Rs. 1131.50
2020-09-13,Rs. 82820.00,Rs. 0.00,Rs. 1127.00
2020-09-11,Rs. 82735.00,Rs. 0.00,Rs. 1123.00
2020-09-10,Rs. 82905.00,Rs. 0.00,Rs. 1136.00
2020-09-09,Rs. 82650.00,Rs. 0.00,Rs. 1127.50
2020-09-08,Rs. 82390.00,Rs. 0.00,Rs. 1127.50
2020-09-07,Rs. 82305.00,Rs. 0.00,Rs. 1132.00
2020-09-06,Rs. 82390.00,Rs. 0.00,Rs. 1132.00
2020-09-04,Rs. 82650.00,Rs. 0.00,Rs. 1127.50
2020-09-03,Rs. 82650.00,Rs. 0.00,Rs. 1153.00
2020-09-02,Rs. 83250.00,Rs. 0.00,Rs. 1170.00
2020-09-01,Rs. 84365.00,Rs. 0.00,Rs. 1196.00
2020-08-31,Rs. 83590.00,Rs. 0.00,Rs. 1174.50
2020-08-30,Rs. 83250.00,Rs. 0.00,Rs. 1149.00
2020-08-28,Rs. 83160.00,Rs. 0.00,Rs. 1149.00
2020-08-27,Rs. 83590.00,Rs. 0.00,Rs. 1149.00
2020-08-26,Rs. 82990.00,Rs. 0.00,Rs. 1123.00
2020-08-25,Rs. 83335.00,Rs. 0.00,Rs. 1136.00
2020-08-24,Rs. 83850.00,Rs. 0.00,Rs. 1136.00
2020-08-23,Rs. 84275.00,Rs. 0.00,Rs. 1149.00
2020-08-21,Rs. 84450.00,Rs. 0.00,Rs. 1166.00
2020-08-20,Rs. 84705.00,Rs. 0.00,Rs. 1166.00
2020-08-19,Rs. 85905.00,Rs. 0.00,Rs. 1174.50
2020-08-18,Rs. 85820.00,Rs. 0.00,Rs. 1183.00
2020-08-17,Rs. 84190.00,Rs. 0.00,Rs. 1127.50
2020-08-16,Rs. 84275.00,Rs. 0.00,Rs. 1131.50
2020-08-14,Rs. 84450.00,Rs. 0.00,Rs. 1157.50
2020-08-13,Rs. 83590.00,Rs. 0.00,Rs. 1106.00
2020-08-12,Rs. 81450.00,Rs. 0.00,Rs. 1037.50
2020-08-11,Rs. 87105.00,Rs. 0.00,Rs. 1230.00
2020-08-10,Rs. 87790.00,Rs. 0.00,Rs. 1192.00
2020-08-09,Rs. 87790.00,Rs. 0.00,Rs. 1205.00
2020-08-07,Rs. 88565.00,Rs. 0.00,Rs. 1205.00
2020-08-06,Rs. 87875.00,Rs. 0.00,Rs. 1153.00
2020-08-05,Rs. 87020.00,Rs. 0.00,Rs. 1106.00
2020-08-04,Rs. 85650.00,Rs. 0.00,Rs. 1054.50
2020-08-03,Rs. 85390.00,Rs. 0.00,Rs. 1050.00
2020-08-02,Rs. 85475.00,Rs. 0.00,Rs. 1054.50
2020-07-31,Rs. 85305.00,Rs. 0.00,Rs. 1020.00
2020-07-30,Rs. 84965.00,Rs. 0.00,Rs. 1046.00
2020-07-29,Rs. 84535.00,Rs. 0.00,Rs. 1046.00
2020-07-28,Rs. 84190.00,Rs. 0.00,Rs. 1072.00
2020-07-27,Rs. 83590.00,Rs. 0.00,Rs. 1042.00
2020-07-26,Rs. 82475.00,Rs. 0.00,Rs. 990.00
2020-07-24,Rs. 82135.00,Rs. 0.00,Rs. 990.00
2020-07-23,Rs. 81190.00,Rs. 0.00,Rs. 982.00
2020-07-22,Rs. 80590.00,Rs. 0.00,Rs. 973.00
2020-07-21,Rs. 79305.00,Rs. 0.00,Rs. 896.00
2020-07-20,Rs. 79045.00,Rs. 0.00,Rs. 857.00
2020-07-19,Rs. 79135.00,Rs. 0.00,Rs. 861.50
2020-07-17,Rs. 78960.00,Rs. 0.00,Rs. 853.00
2020-07-16,Rs. 79475.00,Rs. 0.00,Rs. 866.00
2020-07-15,Rs. 79390.00,Rs. 0.00,Rs. 857.00
2020-07-14,Rs. 79045.00,Rs. 0.00,Rs. 853.00
2020-07-13,Rs. 79045.00,Rs. 0.00,Rs. 844.50
2020-07-12,Rs. 78875.00,Rs. 0.00,Rs. 840.00
2020-07-10,Rs. 78960.00,Rs. 0.00,Rs. 836.00
2020-07-09,Rs. 79220.00,Rs. 0.00,Rs. 840.00
2020-07-08,Rs. 78360.00,Rs. 0.00,Rs. 818.50
2020-07-07,Rs. 78020.00,Rs. 0.00,Rs. 814.50
2020-07-06,Rs. 77245.00,Rs. 0.00,Rs. 801.50
2020-07-05,Rs. 77505.00,Rs. 0.00,Rs. 806.00
2020-07-03,Rs. 77505.00,Rs. 0.00,Rs. 806.00
2020-07-02,Rs. 78020.00,Rs. 0.00,Rs. 814.50
2020-07-01,Rs. 78620.00,Rs. 0.00,Rs. 823.00
2020-06-30,Rs. 78105.00,Rs. 0.00,Rs. 810.00
2020-06-29,Rs. 78275.00,Rs. 0.00,Rs. 810.00
2020-06-28,Rs. 78275.00,Rs. 0.00,Rs. 806.00
2020-06-26,Rs. 77675.00,Rs. 0.00,Rs. 806.00
2020-06-25,Rs. 78020.00,Rs. 0.00,Rs. 801.50
2020-06-24,Rs. 78020.00,Rs. 0.00,Rs. 810.00
2020-06-23,Rs. 77590.00,Rs. 0.00,Rs. 806.00
2020-06-22,Rs. 78020.00,Rs. 0.00,Rs. 814.50
2020-06-21,Rs. 77675.00,Rs. 0.00,Rs. 805.50
2020-06-19,Rs. 77075.00,Rs. 0.00,Rs. 801.50
2020-06-18,Rs. 76990.00,Rs. 0.00,Rs. 801.50
2020-06-17,Rs. 77075.00,Rs. 0.00,Rs. 797.50
2020-06-16,Rs. 76730.00,Rs. 0.00,Rs. 797.50
2020-06-15,Rs. 76730.00,Rs. 0.00,Rs. 793.00
2020-06-14,Rs. 76990.00,Rs. 0.00,Rs. 801.50
2020-06-12,Rs. 76905.00,Rs. 0.00,Rs. 801.50
2020-06-11,Rs. 76905.00,Rs. 0.00,Rs. 814.50
2020-06-10,Rs. 76045.00,Rs. 0.00,Rs. 801.50
2020-06-09,Rs. 75190.00,Rs. 0.00,Rs. 797.50
2020-06-08,Rs. 75100.00,Rs. 0.00,Rs. 801.50
2020-06-07,Rs. 75020.00,Rs. 0.00,Rs. 797.50
2020-06-05,Rs. 75790.00,Rs. 0.00,Rs. 805.50
2020-06-04,Rs. 75790.00,Rs. 0.00,Rs. 805.50
2020-06-03,Rs. 76300.00,Rs. 0.00,Rs. 810.00
2020-06-02,Rs. 77075.00,Rs. 0.00,Rs. 827.50
2020-06-01,Rs. 77160.00,Rs. 0.00,Rs. 827.50
2020-05-31,Rs. 76820.00,Rs. 0.00,Rs. 814.50
2020-05-29,Rs. 76560.00,Rs. 0.00,Rs. 780.00
2020-05-28,Rs. 74330.00,Rs. 0.00,Rs. 763.00
2020-03-23,Rs. 66015.00,Rs. 0.00,Rs. 617.50
2020-03-22,Rs. 65585.00,Rs. 0.00,Rs. 617.50
2020-03-20,Rs. 64730.00,Rs. 0.00,Rs. 600.00
2020-03-19,Rs. 64300.00,Rs. 0.00,Rs. 583.00
2020-03-18,Rs. 65590.00,Rs. 0.00,Rs. 609.00
2020-03-17,Rs. 64730.00,Rs. 0.00,Rs. 609.00
2020-03-16,Rs. 66445.00,Rs. 0.00,Rs. 677.50
2020-03-15,Rs. 66015.00,Rs. 0.00,Rs. 677.50
2020-03-13,Rs. 67300.00,Rs. 0.00,Rs. 703.00
2020-03-12,Rs. 69875.00,Rs. 0.00,Rs. 737.50
2020-03-11,Rs. 70560.00,Rs. 0.00,Rs. 754.50
2020-03-10,Rs. 70900.00,Rs. 0.00,Rs. 754.50
2020-03-08,Rs. 70730.00,Rs. 0.00,Rs. 763.00
2020-03-06,Rs. 70730.00,Rs. 0.00,Rs. 763.00
2020-03-05,Rs. 69190.00,Rs. 0.00,Rs. 754.50
2020-03-04,Rs. 69015.00,Rs. 0.00,Rs. 754.50
2020-03-03,Rs. 67130.00,Rs. 0.00,Rs. 737.50
2020-03-02,Rs. 66875.00,Rs. 0.00,Rs. 737.50
2020-03-01,Rs. 66875.00,Rs. 0.00,Rs. 737.50
2020-02-28,Rs. 67900.00,Rs. 0.00,Rs. 754.50
2020-02-27,Rs. 68330.00,Rs. 0.00,Rs. 771.50
2020-02-26,Rs. 68160.00,Rs. 0.00,Rs. 776.00
2020-02-25,Rs. 68590.00,Rs. 0.00,Rs. 793.00
2020-02-24,Rs. 68845.00,Rs. 0.00,Rs. 793.00
2020-02-23,Rs. 67560.00,Rs. 0.00,Rs. 789.00
2020-02-21,Rs. 66960.00,Rs. 0.00,Rs. 784.50
2020-02-20,Rs. 66530.00,Rs. 0.00,Rs. 784.50
2020-02-19,Rs. 66100.00,Rs. 0.00,Rs. 776.00
2020-02-18,Rs. 65760.00,Rs. 0.00,Rs. 763.00
2020-02-17,Rs. 65585.00,Rs. 0.00,Rs. 763.00
2020-02-16,Rs. 65585.00,Rs. 0.00,Rs. 759.00
2020-02-14,Rs. 65160.00,Rs. 0.00,Rs. 754.50
2020-02-13,Rs. 65160.00,Rs. 0.00,Rs. 754.50
2020-02-12,Rs. 64900.00,Rs. 0.00,Rs. 750.00
2020-02-11,Rs. 65075.00,Rs. 0.00,Rs. 754.50
2020-02-10,Rs. 65160.00,Rs. 0.00,Rs. 754.50
2020-02-09,Rs. 65160.00,Rs. 0.00,Rs. 754.50
2020-02-07,Rs. 64815.00,Rs. 0.00,Rs. 759.00
2020-02-06,Rs. 64470.00,Rs. 0.00,Rs. 750.00
2020-02-05,Rs. 64470.00,Rs. 0.00,Rs. 750.00
2020-02-04,Rs. 65160.00,Rs. 0.00,Rs. 754.50
2020-02-03,Rs. 65585.00,Rs. 0.00,Rs. 763.00
2020-02-02,Rs. 65585.00,Rs. 0.00,Rs. 767.50
2020-01-31,Rs. 65160.00,Rs. 0.00,Rs. 763.00
2020-01-30,Rs. 65415.00,Rs. 0.00,Rs. 754.50
2020-01-29,Rs. 64815.00,Rs. 0.00,Rs. 746.00
2020-01-28,Rs. 65160.00,Rs. 0.00,Rs. 767.50
2020-01-27,Rs. 65160.00,Rs. 0.00,Rs. 771.50
2020-01-26,Rs. 64730.00,Rs. 0.00,Rs. 767.50
2020-01-24,Rs. 64470.00,Rs. 0.00,Rs. 759.00
2020-01-23,Rs. 64300.00,Rs. 0.00,Rs. 759.00
2020-01-22,Rs. 64130.00,Rs. 0.00,Rs. 754.50
2020-01-21,Rs. 64560.00,Rs. 0.00,Rs. 767.50
2020-01-20,Rs. 64300.00,Rs. 0.00,Rs. 763.00
2020-01-19,Rs. 64300.00,Rs. 0.00,Rs. 763.00
2020-01-17,Rs. 64130.00,Rs. 0.00,Rs. 763.00
2020-01-16,Rs. 64045.00,Rs. 0.00,Rs. 759.00
2020-01-15,Rs. 64045.00,Rs. 0.00,Rs. 759.00
2020-01-14,Rs. 63445.00,Rs. 0.00,Rs. 754.50
2020-01-13,Rs. 64130.00,Rs. 0.00,Rs. 763.00
2020-01-12,Rs. 64300.00,Rs. 0.00,Rs. 763.00
2020-01-10,Rs. 63960.00,Rs. 0.00,Rs. 759.00
2020-01-09,Rs. 64730.00,Rs. 0.00,Rs. 771.50
2020-01-08,Rs. 65585.00,Rs. 0.00,Rs. 789.00
2020-01-07,Rs. 64730.00,Rs. 0.00,Rs. 771.50
2020-01-06,Rs. 65160.00,Rs. 0.00,Rs. 789.00
2020-01-05,Rs. 64730.00,Rs. 0.00,Rs. 771.50
2020-01-03,Rs. 63870.00,Rs. 0.00,Rs. 771.50
2020-01-02,Rs. 63015.00,Rs. 0.00,Rs. 763.00
2020-01-01,Rs. 63015.00,Rs. 0.00,Rs. 763.00
2019-12-31,Rs. 63015.00,Rs. 0.00,Rs. 771.50
2019-12-30,Rs. 62845.00,Rs. 0.00,Rs. 763.00
2019-12-29,Rs. 62845.00,Rs. 0.00,Rs. 759.00
2019-12-27,Rs. 62845.00,Rs. 0.00,Rs. 763.00
2019-12-26,Rs. 62415.00,Rs. 0.00,Rs. 763.00
2019-12-25,Rs. 62415.00,Rs. 0.00,Rs. 759.00
2019-12-24,Rs. 61900.00,Rs. 0.00,Rs. 750.00
2019-12-23,Rs. 61645.00,Rs. 0.00,Rs. 737.50
2019-12-22,Rs. 61385.00,Rs. 0.00,Rs. 733.00
2019-12-20,Rs. 61385.00,Rs. 0.00,Rs. 729.00
2019-12-19,Rs. 61385.00,Rs. 0.00,Rs. 729.00
2019-12-18,Rs. 61385.00,Rs. 0.00,Rs. 729.00
2019-12-17,Rs. 61300.00,Rs. 0.00,Rs. 729.00
2019-12-16,Rs. 61130.00,Rs. 0.00,Rs. 724.50
2019-12-15,Rs. 61130.00,Rs. 0.00,Rs. 724.50
2019-12-13,Rs. 60700.00,Rs. 0.00,Rs. 720.00
2019-12-12,Rs. 61045.00,Rs. 0.00,Rs. 720.00
2019-12-11,Rs. 60700.00,Rs. 0.00,Rs. 711.50
2019-12-10,Rs. 60700.00,Rs. 0.00,Rs. 711.50
2019-12-09,Rs. 60870.00,Rs. 0.00,Rs. 716.00
2019-12-08,Rs. 61045.00,Rs. 0.00,Rs. 720.00
2019-12-06,Rs. 61470.00,Rs. 0.00,Rs. 729.00
2019-12-05,Rs. 61730.00,Rs. 0.00,Rs. 729.00
2019-12-04,Rs. 61900.00,Rs. 0.00,Rs. 741.50
2019-12-03,Rs. 61215.00,Rs. 0.00,Rs. 729.00
2019-12-02,Rs. 61215.00,Rs. 0.00,Rs. 729.00
2019-12-01,Rs. 61385.00,Rs. 0.00,Rs. 733.00
2019-11-29,Rs. 61130.00,Rs. 0.00,Rs. 733.00
2019-11-28,Rs. 60870.00,Rs. 0.00,Rs. 729.00
2019-11-27,Rs. 61045.00,Rs. 0.00,Rs. 733.00
2019-11-26,Rs. 61045.00,Rs. 0.00,Rs. 729.00
2019-11-25,Rs. 61385.00,Rs. 0.00,Rs. 733.00
2019-11-24,Rs. 61385.00,Rs. 0.00,Rs. 733.00
2019-11-22,Rs. 61470.00,Rs. 0.00,Rs. 737.50
2019-11-21,Rs. 61730.00,Rs. 0.00,Rs. 737.50
2019-11-20,Rs. 61815.00,Rs. 0.00,Rs. 741.50
2019-11-19,Rs. 61730.00,Rs. 0.00,Rs. 737.50
2019-11-18,Rs. 61385.00,Rs. 0.00,Rs. 729.00
2019-11-17,Rs. 61555.00,Rs. 0.00,Rs. 733.00
2019-11-15,Rs. 61560.00,Rs. 0.00,Rs. 733.00
2019-11-14,Rs. 61730.00,Rs. 0.00,Rs. 737.50
2019-11-13,Rs. 61215.00,Rs. 0.00,Rs. 729.00
2019-11-12,Rs. 61045.00,Rs. 0.00,Rs. 724.50
2019-11-11,Rs. 61045.00,Rs. 0.00,Rs. 724.50
2019-11-10,Rs. 60870.00,Rs. 0.00,Rs. 720.00
2019-11-08,Rs. 59930.00,Rs. 0.00,Rs. 716.00
2019-11-07,Rs. 60530.00,Rs. 0.00,Rs. 729.00
2019-11-06,Rs. 60185.00,Rs. 0.00,Rs. 724.50
2019-11-05,Rs. 60700.00,Rs. 0.00,Rs. 741.50
2019-11-04,Rs. 60870.00,Rs. 0.00,Rs. 746.00
2019-11-03,Rs. 61045.00,Rs. 0.00,Rs. 746.00
2019-11-01,Rs. 61045.00,Rs. 0.00,Rs. 746.00
2019-10-31,Rs. 60445.00,Rs. 0.00,Rs. 737.50
2019-10-25,Rs. 60870.00,Rs. 0.00,Rs. 737.50
2019-10-24,Rs. 60355.00,Rs. 0.00,Rs. 729.00
2019-10-23,Rs. 60355.00,Rs. 0.00,Rs. 729.00
2019-10-22,Rs. 60185.00,Rs. 0.00,Rs. 729.00
2019-10-21,Rs. 60355.00,Rs. 0.00,Rs. 729.00
2019-10-20,Rs. 60355.00,Rs. 0.00,Rs. 729.00
2019-10-18,Rs. 60530.00,Rs. 0.00,Rs. 729.00
2019-10-17,Rs. 60530.00,Rs. 0.00,Rs. 724.50
2019-10-16,Rs. 60530.00,Rs. 0.00,Rs. 729.00
2019-10-15,Rs. 60615.00,Rs. 0.00,Rs. 737.50
2019-10-14,Rs. 60015.00,Rs. 0.00,Rs. 724.50
2019-10-13,Rs. 60100.00,Rs. 0.00,Rs. 724.50
2019-10-11,Rs. 60355.00,Rs. 0.00,Rs. 724.50
2019-10-04,Rs. 60785.00,Rs. 0.00,Rs. 729.00
2019-10-03,Rs. 60785.00,Rs. 0.00,Rs. 729.00
2019-10-02,Rs. 59845.00,Rs. 0.00,Rs. 716.00
2019-10-01,Rs. 59330.00,Rs. 0.00,Rs. 707.50
2019-09-30,Rs. 60015.00,Rs. 0.00,Rs. 720.00
2019-09-29,Rs. 60185.00,Rs. 0.00,Rs. 724.50
2019-09-27,Rs. 60700.00,Rs. 0.00,Rs. 737.30
2019-09-26,Rs. 60870.00,Rs. 0.00,Rs. 741.60
2019-09-25,Rs. 61730.00,Rs. 0.00,Rs. 763.00
2019-09-24,Rs. 61215.00,Rs. 0.00,Rs. 758.75
2019-09-23,Rs. 61130.00,Rs. 0.00,Rs. 750.20
2019-09-22,Rs. 61130.00,Rs. 0.00,Rs. 741.60
2019-09-20,Rs. 60870.00,Rs. 0.00,Rs. 737.30
2019-09-19,Rs. 60615.00,Rs. 0.00,Rs. 733.00
2019-09-18,Rs. 61130.00,Rs. 0.00,Rs. 745.90
2019-09-17,Rs. 61130.00,Rs. 0.00,Rs. 741.60
2019-09-16,Rs. 61130.00,Rs. 0.00,Rs. 741.60
2019-09-15,Rs. 60185.00,Rs. 0.00,Rs. 720.00
2019-09-13,Rs. 60530.00,Rs. 0.00,Rs. 746.00
2019-09-12,Rs. 60700.00,Rs. 0.00,Rs. 750.00
2019-09-11,Rs. 60870.00,Rs. 0.00,Rs. 754.50
2019-09-10,Rs. 60870.00,Rs. 0.00,Rs. 746.00
2019-09-09,Rs. 61470.00,Rs. 0.00,Rs. 754.50
2019-09-08,Rs. 61300.00,Rs. 0.00,Rs. 759.00
2019-09-06,Rs. 61730.00,Rs. 0.00,Rs. 771.60
2019-09-05,Rs. 62930.00,Rs. 0.00,Rs. 806.00
2019-09-04,Rs. 63015.00,Rs. 0.00,Rs. 806.00
2019-09-03,Rs. 62160.00,Rs. 0.00,Rs. 767.50
2019-09-02,Rs. 61730.00,Rs. 0.00,Rs. 759.00
2019-09-01,Rs. 61730.00,Rs. 0.00,Rs. 759.00
2019-08-30,Rs. 62070.00,Rs. 0.00,Rs. 759.00
2019-08-29,Rs. 62930.00,Rs. 0.00,Rs. 767.50
2019-08-28,Rs. 62245.00,Rs. 0.00,Rs. 754.50
2019-08-27,Rs. 62245.00,Rs. 0.00,Rs. 737.50
2019-08-26,Rs. 63015.00,Rs. 0.00,Rs. 737.50
2019-08-25,Rs. 62160.00,Rs. 0.00,Rs. 729.00
2019-08-23,Rs. 61130.00,Rs. 0.00,Rs. 711.50
2019-08-22,Rs. 61130.00,Rs. 0.00,Rs. 711.50
2019-08-21,Rs. 61130.00,Rs. 0.00,Rs. 711.50
2019-08-20,Rs. 60870.00,Rs. 0.00,Rs. 707.50
2019-08-19,Rs. 60870.00,Rs. 0.00,Rs. 711.50
2019-08-18,Rs. 60870.00,Rs. 0.00,Rs. 711.50
2019-08-16,Rs. 61300.00,Rs. 0.00,Rs. 720.00
2019-08-15,Rs. 61300.00,Rs. 0.00,Rs. 720.00
2019-08-14,Rs. 60270.00,Rs. 0.00,Rs. 703.00
2019-08-13,Rs. 60870.00,Rs. 0.00,Rs. 716.00
2019-08-12,Rs. 60015.00,Rs. 0.00,Rs. 707.50
2019-08-11,Rs. 60015.00,Rs. 0.00,Rs. 707.50
2019-08-09,Rs. 60015.00,Rs. 0.00,Rs. 707.50
2019-08-08,Rs. 60015.00,Rs. 0.00,Rs. 707.50
2019-08-07,Rs. 59585.00,Rs. 0.00,Rs. 694.50
2019-08-06,Rs. 58300.00,Rs. 0.00,Rs. 681.50
2019-08-05,Rs. 58130.00,Rs. 0.00,Rs. 681.50
2019-08-05,Rs. 58130.00,Rs. 0.00,Rs. 681.50
2019-08-04,Rs. 56840.00,Rs. 0.00,Rs. 664.50
2019-08-02,Rs. 56415.00,Rs. 0.00,Rs. 660.00
2019-08-01,Rs. 55730.00,Rs. 0.00,Rs. 660.00
2019-07-31,Rs. 56070.00,Rs. 0.00,Rs. 669.00
2019-07-30,Rs. 55900.00,Rs. 0.00,Rs. 664.50
2019-07-29,Rs. 55900.00,Rs. 0.00,Rs. 664.50
2019-07-28,Rs. 55730.00,Rs. 0.00,Rs. 664.50
2019-07-26,Rs. 55730.00,Rs. 0.00,Rs. 664.50
2019-07-25,Rs. 55730.00,Rs. 0.00,Rs. 664.50
2019-07-24,Rs. 55730.00,Rs. 0.00,Rs. 664.50
2019-07-23,Rs. 55730.00,Rs. 0.00,Rs. 656.00
2019-07-22,Rs. 55730.00,Rs. 0.00,Rs. 656.00
2019-07-21,Rs. 55730.00,Rs. 0.00,Rs. 656.00
2019-07-19,Rs. 56155.00,Rs. 0.00,Rs. 660.00
2019-07-18,Rs. 55730.00,Rs. 0.00,Rs. 656.00
2019-07-17,Rs. 55300.00,Rs. 0.00,Rs. 639.00
2019-07-16,Rs. 55300.00,Rs. 0.00,Rs. 621.50
2019-07-15,Rs. 55300.00,Rs. 0.00,Rs. 621.50
2019-07-14,Rs. 55300.00,Rs. 0.00,Rs. 622.00
2019-07-12,Rs. 55300.00,Rs. 0.00,Rs. 622.00
2019-07-11,Rs. 55470.00,Rs. 0.00,Rs. 622.00
2019-07-10,Rs. 55125.00,Rs. 0.00,Rs. 617.00
2019-07-09,Rs. 55300.00,Rs. 0.00,Rs. 617.00
2019-07-08,Rs. 55300.00,Rs. 0.00,Rs. 617.00
